stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
MIG Flates Loni Road,28.700716,77.295277,72,72,0.0010095911155981827,2.4614883890750585e-05,0.0001829452756116336,"MIG Flates Loni Road (38 m), MIG Flats Loni Road (64 m), Ashok Nagar / Meet Nagar (262 m), Ashok Nagar / Meet Nagar (265 m), Ashok Nagar / Meet Nagar (266 m)"
Ashok Nagar / Meet Nagar,28.700269,77.297937,79,79,0.001514386673397274,0.0005379009769832773,0.0004232637789597336,"Ashok Nagar / Meet Nagar (20 m), Ashok Nagar / Meet Nagar (23 m), MIG Flats Loni Road (210 m), MIG Flates Loni Road (231 m), MIG Flates Loni Road (265 m)"
Nand Nagari Depot,28.699088,77.30674,40,40,0.0005047955577990914,0.00014585796185804183,0.00013536833915727477,"Nand Nagri Depot (56 m), Bank Colony (430 m), Bank Colony (474 m), Gagan Cinema (Wazirabad Road) (805 m), Gagan Cinema (Wazirabad Road) (806 m)"
Bank Colony,28.698374,77.311063,79,79,0.001514386673397274,0.0010196185223265287,0.00025361339073902135,"Bank Colony (49 m), Gagan Cinema (Wazirabad Road) (376 m), Gagan Cinema (Wazirabad Road) (376 m), Gagan Cinema Wazirabad Road (419 m), Nand Nagari Depot (430 m)"
Gagan Cinema,28.695833,77.315364,67,67,0.0020191822311963654,0.0026629800796157945,0.00022665517590716796,"Nathu Chowk (15 m), Gagan Cinema (23 m), Gagan Cinema (Wazirabad Road) (188 m), Gagan Cinema Wazirabad Road (195 m), Gagan Cinema (Wazirabad Road) (193 m)"
Sunder Nagri,28.692839,77.316134,48,48,0.0017667844522968198,0.0021742600298337855,0.0003432690080065166,"Sunder Nagri (38 m), Nand Nagari E-Block (244 m), Nand Nagari E-Block (241 m), Gagan Cinema (336 m), Gagan Cinema (340 m)"
Anand Gram,28.688367,77.319753,39,39,0.0020191822311963654,0.00048239841946398946,0.0003468169797230437,"Anand Gram Ashram (47 m), Anand Gram Kusht Ashram (70 m), Tahirpur Village (82 m), Nand Nagri Ext (117 m), Nand Nagri Ext (137 m)"
Anand Gram Kusht Ashram,28.688794,77.321599,29,29,0.0020191822311963654,0.00048239841946398735,0.00033033357231186157,"Anand Gram Kusht Ashram (2 m), Anand Gram (39 m), Anand Gram (187 m), Nand Nagri Ext (209 m), Nand Nagri Ext (215 m)"
Tahir Pur,28.691467,77.324817,46,46,0.002523977788995457,0.004955879952967027,0.0004785979444788424,"Tahir Pur (18 m), DDA flats new seemapuri (61 m),  DDA flats new seemapuri (69 m), DLF More (280 m), DLF Crossing (283 m)"
DLF More,28.6931,77.3274,36,36,0.002271580010095911,0.0005574551942586234,0.00042469078072325273,"DLF More (32 m), Dlf X-Ing (43 m), DLF Crossing (56 m), DDA flats new seemapuri (250 m), Tahir Pur (306 m)"
Shalimar Garden Crossing,28.688383,77.330351,19,19,0.0012619888944977284,2.42138742695853e-07,0.000213542543290866,"Shalimar Garden More (20 m), Shalimar Garden More (37 m), Dilshad Garden Depot Cluster (316 m), Dilshad Garden Depot Cluster (319 m), New Seema Puri Depot Cluster (325 m)"
New Seema Puri Depot Cluster,28.685597,77.331404,54,54,0.004038364462392731,0.0022108891970259933,0.0006712065018129091,"Dilshad Garden Depot Cluster (8 m), Dilshad Garden Depot Cluster (22 m), New Seema Puri Depot Cluster (84 m), New Seema Puri Depot Cluster (89 m), Shalimar Garden More (297 m)"
Saiyyad Nagar Dilshad Garden,28.682567,77.33155,10,10,0.000757193336698637,0.0,0.0001063542199673324,"Sayeed Nagar More (19 m), Sayeed Nagar More (24 m), Saiyyad Masjid Seema Puri (93 m), New Seema Puri Depot Cluster (248 m), New Seema Puri Depot Cluster (252 m)"
Old Seema Puri,28.680817,77.327867,22,22,0.0020191822311963654,0.0006740718036637787,0.00035850632487908416,"Seemapuri (17 m), Dilshad Garden J and K Pocket (23 m), Seemapuri Old J / K (54 m), New Seema Puri (268 m), Saiyyad Masjid Seema Puri (316 m)"
JandK Pocket Dilshad Garden,28.679458,77.324621,30,30,0.0035335689045936395,0.006515830407347254,0.00041729714424627287,"J and K Pocket Dilshad Garden (38 m), New Seema Puri (105 m), Shahdara Border Seemapuri Road (221 m), Shahdra Border (226 m), Shahdara Border Seemapuri Road (231 m)"
Surya Nagar (Gazipur Road),28.66647,77.32161,89,89,0.002523977788995457,0.01153235146888044,0.00053215747194616,"Surya Nagar (Gazipur Road) (11 m), Surya Nagar (Gazipur Road) (55 m), Surya Nagar (155 m), Surya Nagar (164 m), Vivek Vihar Ram Mandir (228 m)"
